categoria,variables_prioritarias,descripcion
Cavernicola,"Karst_total,Karst_principal,Karst_secundario,Lito_karsticas,Roquedos",Especies que usan cuevas y cavidades como refugio principal
Arboricola,"C_forest_total,C_forest_cadu,Haya_ab,Roble_ab",Especies que usan huecos de arboles como refugio
Fisuricola,"Roquedos,Alt_rec,Slop_rec",Especies que usan fisuras en roca y construcciones (incluye ex-Rupicola)
Generalista,"Shannon,Comple_veg,Dens_pob_rec",Especies plasticas sin preferencia clara de refugio (sustituye a Antropofilo)
